branch,E11_K4_matchdim,E12_K1_matchdim,diff
asym+1,40,40,0
asym+1@amp+0.20,32,31,1
asym+1@amp+0.40,20,18,2
asym+1@amp+0.60,4,0,4
asym+1@amp-0.20,49,49,0
asym+1@amp-0.40,19,16,3
asym+1@amp-0.60,61,61,0
asym+1@amp-0.80,65,65,0
asym+1@spine+,3,2,1
asym+1@spine-,4,4,0
asym-1,40,40,0
asym-1@amp+0.20,32,31,1
asym-1@amp+0.40,20,18,2
asym-1@amp+0.60,4,0,4
asym-1@amp-0.20,49,49,0
asym-1@amp-0.40,20,16,4
asym-1@amp-0.60,61,61,0
asym-1@amp-0.80,65,65,0
asym-1@spine+,3,2,1
asym-1@spine-,4,4,0
sym,90,90,0
sym@amp+0.20,89,89,0
sym@amp+0.40,89,89,0
sym@amp+0.60,88,89,-1
sym@amp+0.80,89,89,0
sym@amp-0.20,89,89,0
sym@amp-0.40,89,89,0
sym@amp-0.60,89,89,0
sym@amp-0.80,0,89,-89
sym@spine+,4,4,0
sym@spine-,3,4,-1
