branch,E1_K4_tensor,E2_K1_tensor,diff
asym+1,40,40,0
asym+1@amp+0.10,37,37,0
asym+1@amp+0.20,31,32,-1
asym+1@amp+0.30,27,27,0
asym+1@amp+0.40,20,21,-1
asym+1@amp+0.50,13,14,-1
asym+1@amp+0.60,6,6,0
asym+1@amp-0.10,46,46,0
asym+1@amp-0.20,49,49,0
asym+1@amp-0.30,53,53,0
asym+1@amp-0.40,20,19,1
asym+1@amp-0.50,59,59,0
asym+1@amp-0.60,61,61,0
asym+1@amp-0.70,63,63,0
asym+1@amp-0.80,66,65,1
asym+1@amp-0.90,67,67,0
asym+1@amp-1.00,69,69,0
asym+1@spine+,6,6,0
asym+1@spine-,10,10,0
asym-1,40,40,0
asym-1@amp+0.10,37,37,0
asym-1@amp+0.20,32,31,1
asym-1@amp+0.30,27,27,0
asym-1@amp+0.40,21,20,1
asym-1@amp+0.50,14,13,1
asym-1@amp+0.60,6,5,1
asym-1@amp-0.10,46,46,0
asym-1@amp-0.20,49,49,0
asym-1@amp-0.30,53,53,0
asym-1@amp-0.40,19,21,-2
asym-1@amp-0.50,59,58,1
asym-1@amp-0.60,61,61,0
asym-1@amp-0.70,63,63,0
asym-1@amp-0.80,66,65,1
asym-1@amp-0.90,67,67,0
asym-1@amp-1.00,69,69,0
asym-1@spine+,6,6,0
asym-1@spine-,10,10,0
sym,90,90,0
sym@amp+0.10,89,89,0
sym@amp+0.20,88,88,0
sym@amp+0.30,89,89,0
sym@amp+0.40,88,88,0
sym@amp+0.50,88,88,0
sym@amp+0.60,89,88,1
sym@amp+0.70,89,89,0
sym@amp+0.80,89,89,0
sym@amp+0.90,89,89,0
sym@amp+1.00,89,89,0
sym@amp-0.10,89,89,0
sym@amp-0.20,89,89,0
sym@amp-0.30,89,89,0
sym@amp-0.40,89,89,0
sym@amp-0.50,89,89,0
sym@amp-0.60,89,88,1
sym@amp-0.70,89,89,0
sym@amp-0.80,89,89,0
sym@amp-0.90,89,89,0
sym@amp-1.00,89,89,0
sym@spine+,10,10,0
sym@spine-,10,10,0
