amp,n,n_crossings,Re_lo,Re_hi,bracket,Re_c,direction,proxy_scale,Re_c_proxy
-1.0,90,3,40.0,41.0,1.0,40.44480829421095,pos_to_neg,0.1695267460154284,41.0
-0.9,90,2,42.0,43.0,1.0,42.138108616621906,pos_to_neg,0.13536279906790138,43.0
-0.8,90,2,44.0,45.0,1.0,44.02081376000231,pos_to_neg,0.10363964600185405,45.0
-0.7,90,2,46.0,47.0,1.0,46.09432922883089,pos_to_neg,0.07446692106306108,47.0
-0.6,90,2,48.0,49.0,1.0,48.401267769112984,pos_to_neg,0.04794653828211293,49.0
-0.5,90,2,50.0,51.0,1.0,50.93936151423785,pos_to_neg,0.02419599132520056,51.0
-0.4,90,2,53.0,54.0,1.0,53.7532157641204,pos_to_neg,0.0069578233452654015,89.0
-0.3,90,4,56.0,57.0,1.0,56.850465747347805,pos_to_neg,0.02504714058813562,57.0
-0.2,90,1,60.0,61.0,1.0,60.27069141549396,pos_to_neg,0.04084687678774079,61.0
-0.1,90,1,64.0,65.0,1.0,64.07960377207529,pos_to_neg,0.054399624281890366,64.0
0.0,90,1,68.0,69.0,1.0,68.22531897127305,pos_to_neg,0.06542231122673492,70.0
0.1,90,1,72.0,73.0,1.0,72.87204968715191,pos_to_neg,0.07317278655724146,73.0
0.2,89,1,77.0,79.0,2.0,77.97406262169274,pos_to_neg,0.0764738033829529,78.0
0.3,90,1,83.0,84.0,1.0,83.57619967626549,pos_to_neg,0.07446650379449371,84.0
0.4,89,1,89.0,91.0,2.0,89.79008097670666,pos_to_neg,0.06857877861528949,90.0
0.5,89,1,96.0,98.0,2.0,96.8079741930608,pos_to_neg,0.060945566473756374,96.0
0.6,90,1,105.0,106.0,1.0,105.4105299134903,pos_to_neg,0.04371224510304561,103.0
0.7,90,0,,,,,,0.1695267460154284,
0.8,90,0,,,,,,0.1695267460154284,
0.9,90,0,,,,,,0.1695267460154284,
1.0,90,0,,,,,,0.1695267460154284,
