Re,amp,branch,_conv_t,_mu_ok_t,iterations_t,t_rom_t,_conv_d,_mu_ok_d,iterations_d,t_rom_d
20.0,0.0,sym,True,True,2,0.19421564508229494,True,True,27,0.7735793821047992
21.0,0.0,sym,True,True,2,0.11439687386155128,True,True,29,0.6746005031745881
22.0,0.0,sym,True,True,2,0.11393093899823725,True,True,32,2.291876988951117
23.0,0.0,sym,True,True,2,0.12050570314750075,True,True,34,0.7646851469762623
24.0,0.0,sym,True,True,2,0.11992048402316868,True,True,36,0.7932019028812647
25.0,0.0,sym,True,True,2,0.11989968898706138,True,True,39,0.9051637970842421
26.0,0.0,sym,True,True,2,0.11029745195992291,True,True,42,0.9694488230161369
27.0,0.0,sym,True,True,2,0.11099168588407338,True,True,45,0.9578725018072873
28.0,0.0,sym,True,True,2,0.16342574800364673,True,True,48,1.0997258669231087
29.0,0.0,sym,True,True,2,0.11538770399056375,True,True,50,1.0797752740327269
30.0,0.0,sym,True,True,2,0.13404629402793944,True,True,53,1.0549081631470472
31.0,0.0,sym,True,True,2,0.11960478802211583,True,True,56,1.0986856119707227
32.0,0.0,sym,True,True,2,0.12477215193212032,True,True,59,1.3490195060148835
33.0,0.0,sym,True,True,2,0.1295401039533317,True,True,61,1.269960816949606
34.0,0.0,sym,True,True,2,0.1169848891440779,True,True,63,1.3164079228881747
35.0,0.0,sym,True,True,2,0.11499330587685108,True,True,64,1.3094747599679977
36.0,0.0,sym,True,True,2,0.11925997189246118,True,True,64,1.2888657439034432
37.0,0.0,sym,True,True,1,0.10790917510166764,True,True,60,1.3299218150787055
38.0,0.0,sym,True,True,1,0.11101954500190914,True,True,58,1.2444157970603555
39.0,0.0,sym,True,True,1,0.11098772007972002,True,True,74,1.450098911067471
40.0,0.0,sym,True,True,1,0.10964807192794979,True,True,85,1.5840492120478302
41.0,0.0,sym,True,True,1,0.11555225099436939,True,True,95,1.9007857048418373
42.0,0.0,sym,True,True,1,0.10991528304293752,True,True,106,2.077774293953553
43.0,0.0,sym,True,True,1,0.10985048790462315,True,True,119,2.164565695915371
44.0,0.0,sym,True,True,1,0.1082582981325686,True,True,134,2.6209494778886437
45.0,0.0,sym,True,True,1,0.10707318293862045,True,True,154,2.929956239182502
46.0,0.0,sym,True,True,1,0.10748835606500506,True,True,179,3.290892057819292
47.0,0.0,sym,True,True,1,0.10732848499901593,True,True,211,3.9285903610289097
48.0,0.0,sym,True,True,1,0.10918140900321305,True,True,256,4.746899035992101
49.0,0.0,sym,True,True,1,0.12103662500157952,True,True,319,5.888675149995834
50.0,0.0,sym,True,True,1,0.11953880405053496,False,False,350,6.3405214650556445
51.0,0.0,sym,True,True,1,0.11597360298037529,False,False,350,6.479799639899284
52.0,0.0,sym,True,True,1,0.11826092191040516,False,False,350,6.772705824812874
53.0,0.0,sym,True,True,1,0.1134771800134331,False,False,350,6.72555161989294
54.0,0.0,sym,True,True,1,0.10726201510988176,False,False,350,6.439979098038748
55.0,0.0,sym,True,True,1,0.10749912285245955,False,False,350,6.559768956154585
56.0,0.0,sym,True,True,1,0.10705912997946143,False,False,350,6.3530758421402425
57.0,0.0,sym,True,True,1,0.11865236517041922,False,False,350,6.878437902079895
58.0,0.0,sym,True,True,1,0.11362509010359645,False,False,350,6.698305276222527
59.0,0.0,sym,True,True,1,0.11415637098252773,False,False,350,6.640301741892472
60.0,0.0,sym,True,True,1,0.1157949969638139,True,True,331,6.4258291909936816
61.0,0.0,sym,True,True,1,0.11002560891211033,True,True,261,5.083012216025963
62.0,0.0,sym,True,True,1,0.11336448905058205,True,True,209,3.967880078824237
63.0,0.0,sym,True,True,1,0.11130914208479226,True,True,168,3.574974370887503
64.0,0.0,sym,True,True,1,0.11942107300274074,True,True,136,2.5392634919844568
65.0,0.0,sym,True,True,1,0.10891049983911216,True,True,110,2.048712794203311
66.0,0.0,sym,True,True,1,0.11508303298614919,True,True,87,1.5866962769068778
67.0,0.0,sym,True,True,1,0.14276064094156027,True,True,65,1.4777313070371747
68.0,0.0,sym,True,True,2,0.12199251400306821,True,True,30,0.6522960341535509
69.0,0.0,sym,True,True,1,0.11865543108433485,True,True,58,1.2889811848290265
70.0,0.0,sym,True,True,1,0.11554588400758803,True,True,51,1.0683262071106583
